ID	gene_family	genbank_protein_accession	genbank_nucleotide_accession	class	subclass	pubmed_reference	product_name	Resistance Mechanism
CDI94966.1	aac(2')-I(A267)	CDI94966.1	HG530068.1	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN		aminoglycoside N-acetyltransferase AAC(2')-I(A267)	-
BAM16262.1	aac(2')-IIa	BAM16262.1	AB669090.1	AMINOGLYCOSIDE	KASUGAMYCIN	22660700	kasugamycin N-acetyltransferase AAC(2')-IIa	-
APB03221.1	aac(2')-IIb	APB03221.1	KX531051.1	AMINOGLYCOSIDE	KASUGAMYCIN	27929110	kasugamycin N-acetyltransferase AAC(2')-IIb	-
AAA03550.1	aac(2')-Ia	AAA03550.1	L06156.2	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	8407825	aminoglycoside N-acetyltransferase AAC(2')-Ia	-
AAC44793.1	aac(2')-Ib	AAC44793.1	U41471.1	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	8891143	aminoglycoside N-acetyltransferase AAC(2')-Ib	-
AAB17563.1	aac(2')-Ic	AAB17563.1	U72714.1	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	9159528	aminoglycoside N-acetyltransferase AAC(2')-Ic	-
AAB41701.1	aac(2')-Id	AAB41701.1	U72743.1	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	9159528	aminoglycoside N-acetyltransferase AAC(2')-Id	-
CAR72650.1	aac(2')-Ie	CAR72650.1	FM211192.1	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	9159528	aminoglycoside N-acetyltransferase AAC(2')-Ie	-
EKW6221576.1	aac(3)-C1264	EKW6221576.1	ABKGBU020000026.1	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside N-acetyltransferase AAC(3)-C1264	-
ECI2662265.1	aac(3)-C322	ECI2662265.1	AAIUPV010000079.1	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	37537271	aminoglycoside N-acetyltransferase AAC(3)-C322	-
AAK12088.1	aac(3)-I	AAK12088.1	AF318077.1	AMINOGLYCOSIDE	GENTAMICIN		AAC(3)-I family aminoglycoside 3-N-acetyltransferase	-
CAI46944.1	aac(3)-I	CAI46944.1	AJ877225.1	AMINOGLYCOSIDE	GENTAMICIN	15995187	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	-
CBI71176.1	aac(3)-I	CBI71176.1	FN640465.1	AMINOGLYCOSIDE	GENTAMICIN		AAC(3)-I family aminoglycoside 3-N-acetyltransferase	-
CAA39184.1	aac(3)-IIIa	CAA39184.1	X55652.1	AMINOGLYCOSIDE	GENTAMICIN	1649572	aminoglycoside N-acetyltransferase AAC(3)-IIIa	-
KSC15183.1	aac(3)-IIIb	KSC15183.1	LLLC01000048.1	AMINOGLYCOSIDE	GENTAMICIN	20387903	aminoglycoside N-acetyltransferase AAC(3)-IIIb	-
AAA25683.1	aac(3)-IIIc	AAA25683.1	L06161.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-IIIc	-
CAA31895.1	aac(3)-IIa	CAA31895.1	X13543.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-IIa	-
AAA26548.1	aac(3)-IIb	AAA26548.1	M97172.1	AMINOGLYCOSIDE	GENTAMICIN	1444303	aminoglycoside N-acetyltransferase AAC(3)-IIb	-
CAA38525.1	aac(3)-IIc	CAA38525.1	X54723.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-IIc	-
AAN87703.1	aac(3)-IId	AAN87703.1	AF550415.2	AMINOGLYCOSIDE	GENTAMICIN	20185552	aminoglycoside N-acetyltransferase AAC(3)-IId	-
AAA19915.1	aac(3)-IId	AAA19915.1	L22613.1	AMINOGLYCOSIDE	GENTAMICIN	8117265	aminoglycoside N-acetyltransferase AAC(3)-IId	-
AAN34370.1	aac(3)-IIe	AAN34370.1	AY138987.1	AMINOGLYCOSIDE	GENTAMICIN	12726770	aminoglycoside N-acetyltransferase AAC(3)-IIe	-
ABS70978.1	aac(3)-IIe	ABS70978.1	EU022315.1	AMINOGLYCOSIDE	GENTAMICIN	20185552	aminoglycoside N-acetyltransferase AAC(3)-IIe	-
ACI02996.1	aac(3)-IIe	ACI02996.1	FJ012882.1	AMINOGLYCOSIDE	GENTAMICIN		aminoglycoside N-acetyltransferase AAC(3)-IIe	-
